listing_name,address,property_management_name,monthly_rent,bedroom_count,bathroom_count,utility_water,utility_heat,utility_electricity,wifi_included,utility_laundry,included_appliances,parking_availability,apartment_size,apartment_size_unit,is_furnished,availability_status,image,description,source,website
The Terrace - Floor Plan Style L,"961 South Bland St., Halifax, NS B3H 4M6",Resident Manager - Jeff Baker,-1,2,1,1,1,-1,-1,3,"['Fridge', 'Stove']",2,916,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","2-bedroom unit with 1 bathroom. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
The Terrace - Floor Plan Style M,"961 South Bland St., Halifax, NS B3H 4M6",Resident Manager - Jeff Baker,-1,1,1,1,1,-1,-1,3,"['Fridge', 'Stove']",2,711,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","1-bedroom unit with 1 bathroom. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
The Terrace - Floor Plan Style N,"961 South Bland St., Halifax, NS B3H 4M6",Resident Manager - Jeff Baker,-1,1,1,1,1,-1,-1,3,"['Fridge', 'Stove']",2,893,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","1-bedroom unit with 1 bathroom. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
The Terrace - Floor Plan Style O,"961 South Bland St., Halifax, NS B3H 4M6",Resident Manager - Jeff Baker,-1,0,0,1,1,-1,-1,3,"['Fridge', 'Stove']",2,814,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Studio apartment with no bedroom or bathroom specified. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Lucknow Apartments,"1027 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,1,1,1,1,-1,-1,2,"['Fridge', 'Stove']",0,440,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior2.jpg?&quality=85']","Studio apartment with 1 bathroom, 440 sq.ft. Lucknow is a well kept, three storey building offering a wonderful place to call home. Just steps away from conveniences, universities, hospitals, shopping and business district. Located on a quiet, residential street in the South End of Halifax. RENT INCLUDES: HEAT & HOT WATER Large rental units with hardwood Floors Laundry on-site Designated Resident Manager Exterior parking available. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/lucknow/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Lucknow Apartments,"1027 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,1,1,1,1,-1,-1,2,"['Fridge', 'Stove']",0,650,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior2.jpg?&quality=85']","1 bedroom, 1 bathroom apartment with 650 sq.ft. Lucknow is a well kept, three storey building offering a wonderful place to call home. Just steps away from conveniences, universities, hospitals, shopping and business district. Located on a quiet, residential street in the South End of Halifax. RENT INCLUDES: HEAT & HOT WATER Large rental units with hardwood Floors Laundry on-site Designated Resident Manager Exterior parking available. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/lucknow/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Lucknow Apartments,"1027 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,2,1,1,1,-1,-1,2,"['Fridge', 'Stove']",0,800,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538449/1027LucknowExterior2.jpg?&quality=85']","2 bedrooms, 1 bathroom apartment with 800 sq.ft. Lucknow is a well kept, three storey building offering a wonderful place to call home. Just steps away from conveniences, universities, hospitals, shopping and business district. Located on a quiet, residential street in the South End of Halifax. RENT INCLUDES: HEAT & HOT WATER Large rental units with hardwood Floors Laundry on-site Designated Resident Manager Exterior parking available. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/lucknow/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Wentworth Apartments,"1037 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,2,1,1,1,-1,-1,1,"['Fridge', 'Stove']",1,800,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bath.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bed2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bedroom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Exterior3.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Hall.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowRenoKitchen.jpg?crop=(0,0,297,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/11 Bathroom.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85']","Wentworth is a three storey building offering a wonderful place to call home. Just steps away from universities, hospitals, shopping and downtown business district.",http://apartments.southwest.ca/apartments/ns/halifax/wentworth-1/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Wentworth Apartments,"1037 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,1,1,1,1,-1,-1,1,"['Fridge', 'Stove']",1,650,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bath.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bed2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bedroom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Exterior3.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Hall.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowRenoKitchen.jpg?crop=(0,0,297,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/11 Bathroom.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85']","Wentworth is a three storey building offering a wonderful place to call home. Just steps away from universities, hospitals, shopping and downtown business district.",http://apartments.southwest.ca/apartments/ns/halifax/wentworth-1/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Wentworth Apartments,"1037 Lucknow Street, Halifax, NS B3H 2T2",SouthWest,-1,0,1,1,1,-1,-1,1,"['Fridge', 'Stove']",1,440,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bath.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bed2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Bedroom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Exterior3.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Hall.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037Kitchen2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/1037LucknowRenoKitchen.jpg?crop=(0,0,297,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/538450/11 Bathroom.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85']","Wentworth is a three storey building offering a wonderful place to call home. Just steps away from universities, hospitals, shopping and downtown business district.",http://apartments.southwest.ca/apartments/ns/halifax/wentworth-1/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Park Plaza,"1055 Lucknow Street, Halifax, NS B3H 2T3",SouthWest,-1,0,1,1,1,-1,-1,1,"['Fridge', 'Stove']",0,445,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/Park Plaza Lobby.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaCareShare.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaGrounds.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaRoofTopBBQ.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaRooftopView.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055Kitchen2.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055Live2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowLive.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowParkPlazaKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Studio apartment with 1 bathroom located in a quiet, residential area. Wooden parquet floors. Laundry facilities available. Resident roof-top barbecue area. Pet-friendly building.",http://apartments.southwest.ca/apartments/ns/halifax/park-plaza-0/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Park Plaza,"1055 Lucknow Street, Halifax, NS B3H 2T3",SouthWest,-1,1,1,1,1,-1,-1,1,"['Fridge', 'Stove']",0,644,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/Park Plaza Lobby.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaCareShare.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaGrounds.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaRoofTopBBQ.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/ParkPlazaRooftopView.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055Kitchen2.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055Live2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowLive.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480410/1055LucknowParkPlazaKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']",1-bedroom apartment with 1 bathroom. Equipped for Bell Aliant Fibe™ services. Resident roof-top barbecue area. Pet-friendly building.,http://apartments.southwest.ca/apartments/ns/halifax/park-plaza-0/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
