civic_address,floors,units_or_size,building_type,permit_value,latest_update
1 CIRCASSION DRIVE (COLE) , 3 Floors , 18 Units , RES , $5.8M , GAP Issued Feb 12.
25 CRYSTAL DRIVE (DART) , 5 Floors , 50 Units , MU , $9.5 M ," BP Issued Apr 12, GAP Issued Feb 12."
XX GALLOWAY DRIVE (BEAV) , ? Floors , 424 Units , RES , ? Value , DOP Renewal Submitted Apr 25.
400 GARY MARTIN DRIVE (BFD) , ? Floors , ? Units , ? Use , ? Value , GAP Submitted Apr 24.
2318-28 GOTTINGEN STREET (HFX) , 6 Floors , ? Units , RES , ? Value , DEM Submitted Apr 10.
2361 HAMMONDS PLAINS ROAD (HPR) , 3 Floors , 64 Units , RES , $12M ," GAP Issued Mar 07, BP Submitted Jan 11."
131 HANWELL DRIVE (MSAC) , 4 Floors , 52 Units , MU , $10.0M ," GAP Issued Apr 19, BP Issued Mar 26."
3473-79 JOSEPH HOWE DRIVE (HFX) , ? Floors , ? Units , ? Use , ? Value , DEM Issued May 01.
209 KEARNEY LAKE ROAD (HFX) , ? Floors , ? Units , ? Use , ? Value , BLAS Submitted Apr 25.
155 MAIN STREET (DART) , 8 Floors , 105 Units , RES , $26.2M ," BLAS Issued Apr 22, BP Issued in 2022."
2 MARIE AVENUE (HFX) , 3 Floors , 128 Beds , LTC , $55.1M , GAP Issued Mar 12. 
30 MEMORY LANE (LSAC) , ? Floors , 44 Units , ? Use , ? Value , DEM Issued Feb 21. DOP Submitted in 2023.
6427 NORTH STREET (HFX) , 7 Floors , 73 Units , RES , $17.5M , GAP Issued Feb 28.
40 OCHTERLONELY STREET (DART) , ? Floors , ? Units , RES , ? Value , GAP Issued Apr 17.
212 PORTLAND STREET (DART) , ? Floors , ? Units , ? Use , ? Value , DEM submitted for six lots Jan 12.
344 PRINCE ALBERT ROAD (DART) , 4 Floors , 16 Units , RES , ? Value , DEM Issued Feb 12. BP Submitted in 2023.
119 PINECREST DRIVE (DART) , 5 Floors , ? Units , RES , ? Value , DOP Submitted Mar 12.
120 PINECREST DRIVE (DART) , 6 Floors , 56 Units , RES , $10.5M ," GAP Issued Apr 25, BP Submitted in 2023."
1766 ROBIE STREET (HFX) , ? Floors , ? Units , RES , ? Value , GAP Issued May 01.
1816 ROBIE STREET (HFX) , ? Floors , ? Units , RES , ? Value , GAP Issued May 01.
2542 ROBIE STREET (HFX) , ? Floors , ? Units , RES , ? Value , DEM Submitted Apr 05.
2688 ROBIE STREET (HFX) , 10 Floors , ? Units , RES , ? Value , DEM Issued Jan 11.
2731 ROBIE STREET (HFX) , 8 Floors , 26 Units , MU , $5.2M ," GAP Issued Apr 19, BP Issued Mar 18."
323 SACKVILLE DRIVE (LSAC) , ? Floors , 64 Units , RES , ? Value , DOP Issued Apr 12.
361 SACKVILLE DRIVE (LSAC) , 5 Floors , 65 Units , RES , $25.0M , BP Submitted Feb 14.
1108 SACKVILLE DRIVE (MSAC) , 4 Floors , 50 Units , RES , $12.5M , BP Issued Jan 26.
1132 SACKVILLE DRIVE (MSAC) , 4 Floors , 50 Units , RES , $12.5M , BP Issued Jan 26.
219 SETON ROAD (HFX) , 6 Floors , 144 Units , CU , $16.9M , BLAS Issued Jan 09.
110 TERRASTONE RIDGE (DART) , 6 Floors , 76 Units , RES , $25.0M ," BP Submitted Mar 22, GAP Issued Apr 09."
28 VIRIDIAN DRIVE (DART) , 6 Floors , 95 Units , RES , $17.1M , BP Issued Feb 06.
5688 WEST STREET (HFX) , 5 Floors , 16 Units , RES , $3.0M ," GAP Issued Apr 23, BP Submitted Mar 04, DOP Issued Feb 09."
294 WINDMILL ROAD (DART) , 7 Floors , 79 Units , RES , ? Value , DOP Submitted Mar 06.
352 WINDMILL ROAD (DART) , 9 Floors , 63 Units , RES , $12.6M ," GAP Issued May 02, BP Submitted Jan 23."
215 WYSE ROAD (DART) , 9 Floors , 203 Units , MU , $27.4M ," GAP Issued May 03, DEM Issued Jan 02, BP submitted in 2023."
PID 00222844 , ? Floors , 104 Units , RES , ? Value , DOP Submitted Feb 20. (Opal Ridge)
